food;ingredients;category;kitchen;food_url
Ванильный молочный коктейль с клубникой;ванильный сахар, молоко, ванильное мороженое , клубника;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/vanilnij-molochnij-koktejl-s-klubnikoj-16803
Ванильный милкшейк с шоколадным печеньем;ванильное мороженое , шоколадное печенье, молоко, взбитые сладкие сливки, шоколадный сироп;Напитки;Детское меню;https://eda.ru/recepty/napitki/vanilnij-milkshejk-s-shokoladnim-pechenem-23589
Лимончелло за 80 дней;водка, лимон, сахар, вода;Напитки;Итальянская кухня;https://eda.ru/recepty/napitki/limonchello-za-80-dnej-15763
Коктейль «Эспрессо-мартини» (Espresso Martini);водка, эспрессо, сахарный сироп, обжареные зерна кофе;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-jespresso-martini-espresso-martini-41029
Коктейль «Том Коллинз» (Tom Collins);джин, лимонный сок, сахарный сироп, содовая вода , лимонная цедра;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-tom-kollinz-tom-collins-41006
Йогуртовый банановый смузи с черникой;бананы, апельсиновый сок, натуральный йогурт, черника;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/jogurtovij-bananovij-smuzi-s-chernikoj-24235
Вишневый компот на зиму;вишня, вода, сахар;Напитки;Русская кухня;https://eda.ru/recepty/napitki/vishnevyy-kompot-na-zimu-174041
Имбирная водка;водка, свежий имбирь, липовый мед, лимонный сок;Напитки;Русская кухня;https://eda.ru/recepty/napitki/imbirnaja-vodka-20862
Утренний банановый смузи с овсяными хлопьями;бананы, овсяные хлопья, молоко;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/utrennij-bananovij-smuzi-s-ovsjanimi-hlopjami-41589
Московский мул;водка, имбирный эль, корень имбиря, лайм, лед;Напитки;Русская кухня;https://eda.ru/recepty/napitki/moskovskij-mul-30245
Латте с белым шоколадом;молотый кофе, вода, молоко, белый шоколад;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/latte-s-belim-shokoladom-22739
Коктейль «Бабье лето»;портвейн, тоник, лимон, мята;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-babe-leto-41142
Хлебный кисель с цедрой;цедра мандарина, черный хлеб, изюм, чернослив, сушеные ягоды, взбитые сливки, крахмал, мед;Напитки;Русская кухня;https://eda.ru/recepty/napitki/hlebnij-kisel-s-cedroj-24233
Согревающий имбирный морс с малиной или облепихой;замороженные ягоды, вода, имбирь, куркума, мед;Напитки;Русская кухня;https://eda.ru/recepty/napitki/sogrevayuschiy-imbirnyy-mors-s-malinoy-ili-oblepihoy-114844
Шоколадно-банановый смузи;куриное яйцо, бананы, молоко, какао-порошок;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/shokoladno-bananovij-smuzi-41786
Коктейль «Шприцер» (Spritzer);белое сухое вино, газированная вода, мята;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-shpricer-spritzer-41134
Коктейль «Мятный джулеп» (Mint Julep);бурбон, сахарный сироп, листья мяты, мята, ангостура, сахарная пудра;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-mjatnij-dzhulep-mint-julep-41080
Фруктовый смузи с мятой;киви, бананы, яблоко, лимонный сок, свежая мята, молотая корица;Напитки;Американская кухня;https://eda.ru/recepty/napitki/fruktovij-smuzi-s-mjatoj-30594
Клубнично-банановый смузи;замороженная клубника, концентрированный апельсиновый сок, бананы, ванильное молоко;Напитки;Американская кухня;https://eda.ru/recepty/napitki/klubnichno-bananovij-smuzi-26837
Коктейль «Эспрессо-мартини» (Espresso Martini);водка, эспрессо, сахарный сироп, обжареные зерна кофе;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-jespresso-martini-espresso-martini-41029
Коктейль «Танго»;светлое пиво, гренадин, лед;Напитки;Японская кухня;https://eda.ru/recepty/napitki/kokteyl-tango--151167
Коктейль «Эспрессо-мартини» (Espresso Martini);водка, эспрессо, сахарный сироп, обжареные зерна кофе;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-jespresso-martini-espresso-martini-41029
Горячий мокко с ванилью;сахар, какао-порошок, натуральный кофе, вода, молоко, ваниль;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/gorjachij-mokko-s-vanilju-20504
Коктейль «Том Коллинз» (Tom Collins);джин, лимонный сок, сахарный сироп, содовая вода , лимонная цедра;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-tom-kollinz-tom-collins-41006
Спотыкач;вода, замороженная клюква, свежемороженая брусника, сахар, водка;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/spotykach-139987
Сицилийский горячий шоколад;горький шоколад, вода, бисквитное печенье;Напитки;Итальянская кухня;https://eda.ru/recepty/napitki/sicilijskij-gorjachij-shokolad-20860
Коктейль «Московский мул» (Moscow Mule);водка, сахарный сироп, имбирный эль, ангостура, лайм, имбирь, мята, сахарная пудра;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-moskovskij-mul-moscow-mule-41020
Глинтвейн с белым вином, ромом и изюмом;белое сухое вино, белый ром, лимон, палочки корицы, светлый изюм, сахар, гвоздика;Напитки;Американская кухня;https://eda.ru/recepty/napitki/glintvejn-s-belim-vinom-romom-izjumom-20388
Пуэрто-риканский эггног;кокосовое молоко, сгущенное молоко, ром, яичный желток, молотая корица, палочки корицы;Напитки;Американская кухня;https://eda.ru/recepty/napitki/pujerto-rikanskij-jeggnog-47437
Коктейль «Танго»;светлое пиво, гренадин, лед;Напитки;Японская кухня;https://eda.ru/recepty/napitki/kokteyl-tango--151167
Коктейль «Первый раз»;светлый ром, ликер из бузины, яичный белок, малина;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-pervij-raz-41066
Коктейль «Кловер-клаб» (Clover Club);джин, лимонный сок, яичный белок, малина, мед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-klover-klab-clover-club-41008
Ягодный смузи из клюквы и ежевики;клюквенный морс, клюква, ежевика, малиновый йогурт;Напитки;Итальянская кухня;https://eda.ru/recepty/napitki/yagodnyy-smuzi-iz-klyukvy-i-ezheviki-24061
Горячий шоколад с перечной мятой;молоко 3,2%-ное, сливки 10%-ные, темный шоколад  55%, сахар, свежая мята, взбитые сливки, красно-белая мятная карамель;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/gorjachij-shokolad-s-perechnoj-mjatoj-31037
Грейпфрутовый смузи;свежевыжатый грейпфрутовый сок, консервированный ананас, ванильный сахар, натуральный йогурт;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/grejpfrutovij-smuzi-25043
Горячий шоколад с перечной мятой;молоко 3,2%-ное, сливки 10%-ные, темный шоколад  55%, сахар, свежая мята, взбитые сливки, красно-белая мятная карамель;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/gorjachij-shokolad-s-perechnoj-mjatoj-31037
Грейпфрутовый смузи;свежевыжатый грейпфрутовый сок, консервированный ананас, ванильный сахар, натуральный йогурт;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/grejpfrutovij-smuzi-25043
Коктейль «Морской бриз» (Sea Breeze);водка, сироп маракуйи, клюква, грейпфруты;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-morskoj-briz-sea-breeze-41024
Йеллоу-слинг;маракуйя, темный ром, светлый ром, абсент, лимонный сок, бананы, кусковой сахар, сахар;Напитки;Британская кухня;https://eda.ru/recepty/napitki/jellou-sling-44229
Безалкогольный глинтвейн с вишневым соком;вишневый сок, апельсины, яблоко, мед, палочки корицы, анис (бадьян), гвоздика;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/bezalkogolnyy-glintveyn-s-vishnevym-sokom-151870
Коктейль «Крестный отец» (Godfather);шотландский купажированный виски, миндальный ликер, лимонная цедра;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-krestnij-otec-godfather-41083
Золотое молоко с медом и куркумой;молоко, вода, кокосовое масло, куркума, мед;Напитки;Русская кухня;https://eda.ru/recepty/napitki/zolotoe-moloko-s-medom-i-kurkumoj-36519
Коктейль «Порто-Ронко» (Porto Ronco);темный ром, красный портвейн, оранж биттер, цедра апельсина, ангостура;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-porto-ronko-porto-ronco-41078
Густой утренний смузи с авокадо и кокосовым молоком;авокадо, сгущенное молоко, лед, кокосовое молоко, ванильный экстракт;Напитки;Вьетнамская кухня;https://eda.ru/recepty/napitki/gustoj-utrennij-smuzi-s-avokado-kokosovim-molokom-31744
Крем фреш;сливки 30%-ные, кефир;Напитки;Французская кухня;https://eda.ru/recepty/napitki/krem-fresh-16441
Настоящий лимонад;лимон, вода, сахар;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/nastojaschij-limonad-24905
Веспер;джин, водка, сухой вермут, лимон, лед;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/vesper-30246
Коктейль «Москоу сауэр»;ирландский виски , сахарный сироп, лимонный сок, темный квас;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kokteyl-moskou-sauer--80699
Коктейль «Френч-75» (French 75);джин, сахарный сироп, сухое шампанское, лимон, лимонная цедра;Напитки;Французская кухня;https://eda.ru/recepty/napitki/koktejl-french-75-french-75-40958
Коктейль «Порто-Ронко» (Porto Ronco);темный ром, красный портвейн, оранж биттер, цедра апельсина, ангостура;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-porto-ronko-porto-ronco-41078
Коктейль «Глинтвейн»;анис (бадьян), красное вино, сладкий херес «педро хименес», апельсиновый ликер, оранж биттер, семена кардамона, гвоздика, черный душистый перец, палочки корицы, ванильный сахар, персики, яблоко, апельсины;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-glintvejn-41143
Орео-шейк;лед, печенье oreo, молоко;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/oreo-shejk-48471
Олд бой;клубника, тростниковый сахар, свежевыжатый грейпфрутовый сок, клубничный ликер, водка, тайский острый перец птичий глаз, корица, лед;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/old-boj-18569
Лонг-Айленд;водка, светлый ром, джин, текила, куантро, лимонный сок, сахарный сироп, кока-кола;Напитки;Американская кухня;https://eda.ru/recepty/napitki/long-ajlend-52701
Коктейль «Беллини» (Bellini);просекко, персиковый ликер, персиковый биттер , персики;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-bellini-bellini-41140
Клубничный безалкогольный мохито;клубника, свежая мята, лайм, спрайт, лед;Напитки;Кубинская кухня;https://eda.ru/recepty/napitki/bezalkogolnij-klubnichnij-mohito-36636
Домашний лимончелло с грейпфрутом;грейпфруты, сахар, ванильный стручок, водка, вода, лимонный сок, молоко;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/domashniy-limonchello-s-greypfrutom-139993
Коктейль «Трули Бритиш» (Truly British);джин, лимонный сок, бузинный сироп, яблочный сок, листья мяты;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-truli-british-truly-british-41009
Коктейль «Нью-Йорк-сауэр» (New York Sour);бурбон, лимонный сок, сахарный сироп, биттер, красное сухое вино, лимонная цедра, яичный белок;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-nju-jork-saujer-new-york-sour-41093
Пряный глинтвейн;красное вино, палочки корицы, яблоко, лимонная цедра, апельсины, сахар;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/pryanyy-glintveyn-140270
Коктейль «Водка-мартини» (Vodka Martini);водка, сухой вермут, сельдереевый биттер , оливки, соль, цедра апельсина;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-vodka-martini-vodka-martini-41031
Горячий шоколадный десерт с ликером;сливочное масло, какао-порошок, черный шоколад 70%-ный, куриное яйцо, яичный желток, сахар, ликер «тиа мария», пшеничная мука, ванильное мороженое ;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/gorjachij-shokoladnij-desert-s-likerom-20713
Компот из сушеных фруктов;сухофрукты, сахар, вода;Напитки;Русская кухня;https://eda.ru/recepty/napitki/kompot-iz-sushenih-fruktov-14939
Компот из сушеных фруктов;сухофрукты, сахар, вода;Напитки;Русская кухня;https://eda.ru/recepty/napitki/kompot-iz-sushenih-fruktov-14939
Коктейль «Парк-авеню» (Park Avenue);джин, белый вермут , ананасовый сок, апельсиновый ликер;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-park-avenju-park-avenue-41002
Домашний лимонад с мятой;лимон, сахар, вода, соль, мята, корица, ваниль, цедра лайма, джин, цитрусовый ликер;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/domashnij-limonad-s-mjatoj-33330
Коктейль «Водка-мартини» (Vodka Martini);водка, сухой вермут, сельдереевый биттер , оливки, соль, цедра апельсина;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-vodka-martini-vodka-martini-41031
Коктейль «Эль-дьябло» (El Diablo);текила, черносмородиновый ликер, лайм, корень имбиря, лимонная цедра, имбирный эль;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-jel-djablo-el-diablo-41037
Тыквенный смузи с семенами льна;тыква, миндальное молоко, семена льна, цветочный мед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/tykvennyy-smuzi-s-semenami-lna-137501
Бананово молочный коктейль;кислое молоко, бананы, сахар;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/bananovo-molochnyy-kokteyl-32264
Датский рождественский глогг с миндалем, изюмом и водкой;красное сухое вино, водка, сахар, палочки корицы, молотый имбирь, гвоздика, изюм, миндаль;Напитки;Датская кухня;https://eda.ru/recepty/napitki/datskij-rozhdestvenskij-glogg-s-mindalem-izjumom-vodkoj-20383
Коктейль «Виноградный физ» (Grape Fizz);водка, тоник, белый виноград ;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-vinogradnij-fiz-grape-fizz-41030
Коктейль «Джапалак» (Japalak);шотландский купажированный виски, сухой вермут, малиновый сироп, апельсины, лимонная цедра;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-dzhapalak-japalak-41092
Сангрита;томатный сок, апельсиновый сок, сок лайма, коричневый сахар, вустерширский соус, tabasco®, морская соль, свежемолотый черный перец;Напитки;Мексиканская кухня;https://eda.ru/recepty/napitki/sangrita-22460
Цитрусовый грог с черным перцем и гвоздикой;белый ром, апельсиновый сок, вода, лимонный сок, черный перец горошком, лимонная цедра, гвоздика;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/citrusovij-grog-s-chernim-percem-gvozdikoj-20474
Смузи фруктовый со злаками;груши, бананы, ананасовый сок, клетчатка, мюсли;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/smuzi-fruktovij-so-zlakami-24877
Коктейль «Эггног» (Eggnog);коньяк, темный ром, сахарный сироп, яичный желток, молоко, биттер, мускатный орех;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-jeggnog-eggnog-41102
Коктейль «Эггног» (Eggnog);коньяк, темный ром, сахарный сироп, яичный желток, молоко, биттер, мускатный орех;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-jeggnog-eggnog-41102
Коктейль «Манхэттен» (Manhattan);бурбон, красный вермут, коктейльная вишня , ангостура;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-manhjetten-manhattan-41088
Наливка на хурме;водка, сахар, хурма, пажитник, порошок плодов рожкового дерева;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/nalivka-na-hurme-93932
Клубничный лимонад с мятой;сахарный сироп, лимон, вода, клубника;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/klubnichnyy-limonad-s-myatoy-16945
Смузи цитрусовый с морковью;апельсины, яблоко, морковь, свежевыжатый апельсиновый сок;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/smuzi-citrusovij-s-morkovju-32791
Чай масала;вода, молоко, корень имбиря, лавровый лист, черный перец горошком, зеленые коробочки кардамона , корица, гвоздика, чай ассам, сахар, мед;Напитки;Индийская кухня;https://eda.ru/recepty/napitki/chay-masala-139849
Коктейль «Эпплджек» (Applejack);кальвадос, апельсиновый ликер, лайм, оранж биттер;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-jeppldzhek-applejack-41106
Коктейль «Холодное лето 1986 года»;облепиха, сахар, перцовая водка, яблочный ликер, ликер «фалернум», лимонный сок, сахарный сироп;Напитки;Русская кухня;https://eda.ru/recepty/napitki/koktejl-holodnoe-leto-1986-goda-52852
Коктейль «Писко-сауэр» (Pisco Sour);сахарный сироп, лимонный сок, яичный белок, писко, ангостура;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-pisko-saujer-pisco-sour-41104
Коктейль «Авиация» (Aviation);джин, ликер мараскино, фиалковый ликер, лайм;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-aviacija-aviation-41016
Коктейль «Шальной верблюд» («El camello …loco»);светлый ром, красный вермут, сок лайма, сахарный сироп, светлое пиво, лимонная цедра;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kokteyl-shalnoy-verblyud-el-camello-loco--58169
Домашний лимонад из лимона;лимон, вода, сахар;Напитки;Русская кухня;https://eda.ru/recepty/napitki/domashnij-limonad-iz-limona-37676
Коктейль «Кайпиринья» (Caipirinha);кашаса, тростниковый сахар, лайм;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-kajpirinja-caipirinha-41079
Смузи из хурмы;апельсины, хурма, молотая корица, свежий имбирь, вода;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/smuzi-iz-hurmi-40042
Коктейль «Шальной верблюд» («El camello …loco»);светлый ром, красный вермут, сок лайма, сахарный сироп, светлое пиво, лимонная цедра;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kokteyl-shalnoy-verblyud-el-camello-loco--58169
Компот из свежих яблок и слив;яблоко, сливы, сахар;Напитки;Русская кухня;https://eda.ru/recepty/napitki/kompot-iz-svezhih-jablok-sliv-15331
Мохито по-бразильски;свежая мята, сахар, лайм, ром «бакарди лимон», белый ром, спрайт, сухое шампанское;Напитки;Бразильская кухня;https://eda.ru/recepty/napitki/mohito-po-brazilski-26687
Настойка из карельских ягод;водка, свежие ягоды, сахар, лимонная цедра, цедра апельсина;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/nastoyka-iz-karelskih-yagod-139985
Коктейль Pilsner Sunrise;текила, светлое пиво, гренадин, апельсиновый сок;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kokteyl-pilsner-sunrise-151173
Коктейль «Текила-санрайз»;текила, апельсиновый сок, гренадин;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/koktejl-tekila-sanrajz-20532
Коктейль «Парк-авеню» (Park Avenue);джин, белый вермут , ананасовый сок, апельсиновый ликер;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-park-avenju-park-avenue-41002
Клубничный мохито;клубника, листья мяты, сахар, лед, белый ром, лимонный сок, клубничный ликер;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/klubnichnij-mohito-19155
Коктейль «Мартинес» (Martinez);джин, белый вермут , ликер мараскино, биттер, коктейльная вишня , лимонная цедра;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-martines-martinez-41001
Тыквенный смузи с семенами льна;тыква, миндальное молоко, семена льна, цветочный мед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/tykvennyy-smuzi-s-semenami-lna-137501
Кофе Granito con panna;эспрессо, шоколадный сироп, миндальный сироп, сливки;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kofe-granito-con-panna-93649
Сладкий кофейный лимонад;сахар, кожура лимона, эспрессо доппио, газированная вода;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/sladkiy-kofeynyy-limonad-137036
Коктейль «Смерть мексиканца»;текила, пиво, tabasco®, соль;Напитки;Мексиканская кухня;https://eda.ru/recepty/napitki/koktejl-smert-meksikanca-23655
Тыквенно-молочный коктейль;тыква, молоко, сахар, ваниль, молотая корица, взбитые сливки;Напитки;Американская кухня;https://eda.ru/recepty/napitki/tikvenno-molochnij-koktejl-18972
Горячий шоколад с маршмеллоу;темный шоколад, сливки 33%-ные, маршмеллоу;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/goryachiy-shokolad-s-marshmellou-151869
Коктейль «Эггног» (Eggnog);коньяк, темный ром, сахарный сироп, яичный желток, молоко, биттер, мускатный орех;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-jeggnog-eggnog-41102
Коктейль «Манхэттен» (Manhattan);бурбон, красный вермут, коктейльная вишня , ангостура;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-manhjetten-manhattan-41088
Коктейль Corona Sunrise;текила, пиво corona extra, лимонный сок, сахарный сироп, апельсиновый сок, гранатовый сок;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kokteyl-corona-sunrise-151164
Безалкогольный апельсиново-клюквенный пунш;клюквенный сок, апельсиновый сок, вода, молотая корица, молотый имбирь, молотый мускатный орех, апельсины, сахар, свежая клюква, мята;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/bezalkogolnij-apelsinovo-kljukvennij-punsh-20378
Эльфийский травяной настой;водка, черная лакрица, кора дуба, ванильный сахар, семена кориандра, гвоздика, мускатный орех, фруктоза;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/elfiyskiy-travyanoy-nastoy-152817
Коктейль «Агавони» (Agavoni);текила, красный вермут, горький вермут , грейпфруты, ангостура;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-agavoni-agavoni-41034
Ледяной кофе по-гречески;сахар, лед, растворимый кофе, вода, молоко;Напитки;Греческая кухня;https://eda.ru/recepty/napitki/ledjanoj-kofe-po-grecheski-28587
Смузи с бананом и овсянкой;вода, овсяная крупа, молоко, бананы, мед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/smuzi-s-bananom-i-ovsjankoj-41050
Коктейль «Старый приятель» (Old Pal);бурбон, белый вермут , горький вермут , сахарный сироп, оранж биттер, цедра апельсина;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-starij-prijatel-old-pal-41097
Коктейль «Блю-блейзер» (Blue Blazer);темный ром, херес, ванильный сахар, ежевика, черника, ангостура, клубника, палочки корицы;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-blju-blejzer-blue-blazer-41065
Лимонад из щавеля с чаем матча;щавель, сахар, матча, свежевыжатый лимонный сок, минеральная вода без газа, минеральная вода с газом, мята;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/limonad-iz-schavelya-s-chaem-matcha-139057
Кофе с медом и чесноком;мед, молотый кофе, чеснок;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kofe-s-medom-i-chesnokom-32496
Коктейль «Свободная Ингрия»;водка, яблочный сок, морошковый ликер, клюква, ангостура, колотый лед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-svobodnaja-ingrija-54357
Лимонад из щавеля с чаем матча;щавель, сахар, матча, свежевыжатый лимонный сок, минеральная вода без газа, минеральная вода с газом, мята;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/limonad-iz-schavelya-s-chaem-matcha-139057
Зеленый айс-ти с манго, тархуном и маракуйей;зеленый чай, газированная вода, манговое пюре, маракуйя, сироп маракуйи, сахарный сироп, эстрагон, лед, апельсины, сахарная пудра;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/zelenyy-ays-ti-s-mango-tarhunom-i-marakuyey-93150
Прованский кофе;эспрессо, лавандовый сироп, желатин, сливки;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/provanskiy-kofe-93644
Коктейль Corona Sunrise;текила, пиво corona extra, лимонный сок, сахарный сироп, апельсиновый сок, гранатовый сок;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kokteyl-corona-sunrise-151164
Безалкогольный апельсиново-клюквенный пунш;клюквенный сок, апельсиновый сок, вода, молотая корица, молотый имбирь, молотый мускатный орех, апельсины, сахар, свежая клюква, мята;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/bezalkogolnij-apelsinovo-kljukvennij-punsh-20378
Ледяной кофе по-гречески;сахар, лед, растворимый кофе, вода, молоко;Напитки;Греческая кухня;https://eda.ru/recepty/napitki/ledjanoj-kofe-po-grecheski-28587
Смузи с бананом и овсянкой;вода, овсяная крупа, молоко, бананы, мед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/smuzi-s-bananom-i-ovsjankoj-41050
Коктейль «Старый приятель» (Old Pal);бурбон, белый вермут , горький вермут , сахарный сироп, оранж биттер, цедра апельсина;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-starij-prijatel-old-pal-41097
Кофе с медом и чесноком;мед, молотый кофе, чеснок;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kofe-s-medom-i-chesnokom-32496
Коктейль «Свободная Ингрия»;водка, яблочный сок, морошковый ликер, клюква, ангостура, колотый лед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-svobodnaja-ingrija-54357
«Британский самогон»;джин, калпис, сахарный сироп, свежевыжатый лимонный сок, сок юдзу, содовая вода ;Напитки;Британская кухня;https://eda.ru/recepty/napitki/britanskij-samogon--54967
Малиновый латте;эспрессо, молоко, малина, вода, сахар;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/malinovyy-latte-137039
Кофе по-тайски;сливки 33%-ные, чай earl grey, лимонная цедра, сахар, черный кофе, какао-порошок;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/kofe-po-tayski-137033
Компот из ревеня;ревень, сахар, свежая мята;Напитки;Русская кухня;https://eda.ru/recepty/napitki/kompot-iz-revenja-15663
Пепино;текила, огурцы, сок лайма, сироп агавы, лайм;Напитки;Мексиканская кухня;https://eda.ru/recepty/napitki/pepino-44227
Шоколадно-кофейный микс;молоко, натуральный кофе, молочный шоколад;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/shokoladno-kofejnij-miks-30190
Коктейль «Сайдкар» (Sidecar);коньяк, апельсиновый ликер, лимонный сок, лимонная цедра;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-sajdkar-sidecar-41110
Коктейль Licorne lavande;лавандовый сироп, джин, сок лайма, ликер «трипл сек», тоник;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/kokteyl-licorne-lavande-151875
Коктейль «Золотой Сазерак» (Golden Sazerac);шотландский купажированный виски, зеленый травяной ликер, абсент, биттер, сахарный сироп, цедра апельсина, ангостура;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-zolotoj-sazerak-golden-sazerac-41091
Арбузный апероль;мякоть арбуза, малиновое пюре, сахарный сироп, лимонный сок, аперитив апероль, просекко;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/arbuznyy-aperol-151303
Протеиновый банановый коктейль;ряженка , мед, бананы, корица, перепелиное яйцо;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/proteinovij-bananovij-koktejl-33874
Коктейль «Кловер-клаб»;джин, лимонный сок, гренадин, сахарный сироп, яичный белок, малина, лед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-klover-klab-55382
Коктейль Violet 75;джин, фиалковый ликер, сироп маракуйи, лимонный сок, просекко;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/kokteyl-violet-75-140544
Облепиховый чай c имбирем;облепиха, сахар, имбирь, гвоздика, молотый черный перец, апельсиновый сок, вода;Напитки;Русская кухня;https://eda.ru/recepty/napitki/oblepihovyy-chay-c-imbirem-140269
Дайкири с авокадо;ром, авокадо, сахарный сироп, сливки, лимонный сок, гранатовый сок, лед;Напитки;Японская кухня;https://eda.ru/recepty/napitki/dajkiri-s-avokado-30241
