food;ingredients;category;kitchen;food_url
Освежающий напиток по-мексикански;рисовое ванильное молоко, ванильное мороженое , молотая корица;Напитки;Мексиканская кухня;https://eda.ru/recepty/napitki/osvezhajuschij-napitok-po-meksikanski-28582
Напиток «Tema special drink»;золотой ром, мякоть арбуза, лимончелло, медовый сироп, сок лайма;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/napitok-tema-special-drink-24687
Согревающий напиток Хэрбал тропик;кафрский лайм, розмарин, ананасовое пюре, ванильный сироп, ананасовый сок;Напитки;Американская кухня;https://eda.ru/recepty/napitki/sogrevayuschiy-napitok-herbal-tropik-81058
Газированный клюквенный напиток с шампанским;вода, клюквенный сок, концентрат лимонада, сухое шампанское;Напитки;Русская кухня;https://eda.ru/recepty/napitki/gazirovannij-kljukvennij-napitok-s-shampanskim-23164
Согревающий напиток Фреш Биттер;грушевое пюре, грейпфрутовый сок, сироп с корицей, огурцы, лимонный сок;Напитки;Американская кухня;https://eda.ru/recepty/napitki/sogrevayuschiy-napitok-fresh-bitter-81057
Энергетический напиток;яблоко, зелень, авокадо, тертый имбирь, морская соль, темно-красные водоросли;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/jenergeticheskij-napitok-18960
Напиток из папайи, миндаля и кардамона;коробочки кардамона, папайя, миндаль, вода;Напитки;Веганская еда;https://eda.ru/recepty/napitki/napitok-iz-papaji-mindalja-kardamona-18954
Лимонный напиток с имбирным элем и мятой;лимонный сок, сахар, вода, имбирный эль, листья мяты, лимонный шербет, лимон;Напитки;Шотландская кухня;https://eda.ru/recepty/napitki/limonnij-napitok-s-imbirnim-jelem-mjatoj-21008
Рисовый напиток из Чили (Хорчата);мак, палочки корицы, мед, ванильный стручок, вода, цедра лайма, миндаль;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/risovij-napitok-iz-chili-horchata-37548
Кофейно-шоколадный напиток по-итальянски (Affogato);эспрессо, кофейный ликер, шоколадное мороженое;Напитки;Итальянская кухня;https://eda.ru/recepty/napitki/kofejno-shokoladnij-napitok-po-italjanski-affogato-22708
Напиток из листьев и ягод брусники;брусника, листья брусники, вода, мед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/napitok-iz-listev-i-jagod-brusniki-39826
Кефирный напиток с огурцом, укропом и чесноком;кефир, укроп, чеснок, морская соль, огурцы;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kefirnij-napitok-s-ogurcom-ukropom-i-chesnokom-41042
Напиток «Медовый»;яблоко, мед, молоко, лимон;Напитки;Русская кухня;https://eda.ru/recepty/napitki/napitok-medovyy-125083
Напиток из брокколи, сельдерея и кормовой капусты;капуста брокколи, стебель сельдерея, кормовая капуста, молодая морковь, яблоко, лед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/napitok-iz-brokkoli-seldereja-kormovoj-kapusti-18950
Энергетический напиток из кефира;клубника, зеленый чай, кефир, мед, вода;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/jenergeticheskij-napitok-iz-kefira-32963
Имбирный напиток с медом и мятой;кипяток, имбирь, лайм, свежая мята, мед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/imbirnij-napitok-s-medom-i-mjatoj-48537
Молочный напиток с кофе;молоко, молотый кофе, сахар;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/molochnij-napitok-s-kofe-30260
Целебные напиток с куркумой;куркума, лайм, мед, вода;Напитки;Индийская кухня;https://eda.ru/recepty/napitki/celebnie-napitki-s-kurkumoj-44749
Бодрящий фруктовый напиток с овсянкой;клубника, бананы, миндаль, овсяная крупа, ванильный йогурт, кленовый сироп;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/bodrjashhij-fruktovij-napitok-s-ovsjankoj-56305
Йогуртовый напиток с мюсли и бананом;мюсли, натуральный йогурт, молотый имбирь, молотые семена льна, молотая корица, бананы, молотый кардамон, творог, изюм без косточек, мед;Напитки;Американская кухня;https://eda.ru/recepty/napitki/jogurtovij-napitok-s-mjusli-i-bananom-50940
Ледяной тропический кофейный напиток;натуральный кофе, кокосовая вода, вода;Напитки;Паназиатская кухня;https://eda.ru/recepty/napitki/ledjanoj-tropicheskij-kofejnij-napitok-45952
Зимний русский слабоалкогольный напиток «Душепарка»;клюква, имбирь, светлое пиво, мед, молотый черный перец;Напитки;Русская кухня;https://eda.ru/recepty/napitki/zimnij-russkij-slaboalkogolnij-napitok-dusheparka-41352
Банановый воздушный напиток с белым шоколадом;бананы, молоко, белый шоколад, хлопья миндаля, творожный сырок ;Напитки;Американская кухня;https://eda.ru/recepty/napitki/bananovij-vozdushnij-napitok-s-belim-shokoladom-44780
Освежающий напиток из киви и зеленого винограда;киви, зеленые яблоки, зеленый виноград без косточек, лед, лимонный сок;Напитки;Русская кухня;https://eda.ru/recepty/napitki/osvezhajuschij-napitok-iz-kivi-zelenogo-vinograda-29743
Ароматный теплый клюквенный напиток со специями;клюквенный сок, палочки корицы, свежая клюква, сахар, гвоздика, молотая корица;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/aromatnij-teplij-kljukvennij-napitok-so-specijami-29731
Имбирный лимонад;тростниковый сахар, лимон, имбирь, вода;Напитки;Паназиатская кухня;https://eda.ru/recepty/napitki/imbirnij-limonad-14425
Глинтвейн на темном пиве;темное пиво, кардамон, имбирь, палочки корицы, мускатный орех, гвоздика, мед, апельсины, лимон;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/glintvejn-na-temnom-pive-55953
Горячий шоколад;молоко, кукурузная мука, черный шоколад 70%-ный, сахар;Напитки;Французская кухня;https://eda.ru/recepty/napitki/gorjachij-shokolad-17585
Холодно-горячий шоколадный кекс-пудинг;сливочное масло, черный шоколад 70%-ный, сахар, куриное яйцо, пшеничная мука, соль, сливки 25%-ные, кофейный экстракт, фундук;Напитки;Британская кухня;https://eda.ru/recepty/napitki/holodno-gorjachij-shokoladnij-keks-puding-17378
Зеленый смузи со шпинатом и ананасом;яблоки «голден», шпинат, стебель сельдерея, огурцы, лайм, ананас, авокадо, лед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/zelenyy-smuzi-so-shpinatom-i-ananasom-80081
Масала-чай;гвоздика, молотый кардамон, палочки корицы, молотый имбирь, молотый фенхель, черный листовой чай, молоко, вода, сахар;Напитки;Индийская кухня;https://eda.ru/recepty/napitki/indiyskiy-masala-chay-92170
Быстрый лимонад;лимон, сахар, вода, лед;Напитки;Русская кухня;https://eda.ru/recepty/napitki/bistrij-limonad-23884
Глинтвейн с медом и имбирем;красное сухое вино, вода, яблоко, апельсины, мед, корица, гвоздика, анис (бадьян), кардамон, мускатный орех, имбирь, каркаде, черный чай;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/glintvejn-s-medom-imbirem-30312
Глёг с миндалем, изюмом и пряностями;красное сухое вино, мед, палочки корицы, гвоздика, кардамон, апельсины, коньяк, изюм, очищенный миндаль;Напитки;Шведская кухня;https://eda.ru/recepty/napitki/glyog-s-mindalem-izyumom-i-pryanostyami-80445
Ласси;натуральный йогурт, сахарная пудра, шафран, кардамон, лед;Напитки;Индийская кухня;https://eda.ru/recepty/napitki/lassi-92405
Желтый смузи с яблоками, базиликом и имбирем;морковь, яблоки «голден», огурцы, имбирь, базилик, бананы, груши, лед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/zheltyy-smuzi-s-yablokami-bazilikom-i-imbirem-80084
Рождественский глинтвейн;красное сухое вино, вода, яблоко, апельсины, мед, корица, гвоздика, анис (бадьян), кардамон, мускатный орех, имбирь, каркаде, черный чай;Напитки;Немецкая кухня;https://eda.ru/recepty/napitki/rozhdestvenskij-glintvejn-18503
Белый глёг;белое сухое вино, груши «конференц», сахар, палочки корицы, темный ром;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/belyy-glyog-57928
Молочный кисель с ванилью;молоко, картофельный крахмал, ванильный стручок, сахар, тертый шоколад;Напитки;Русская кухня;https://eda.ru/recepty/napitki/molochnij-kisel-s-vanilju-31092
Цитрусовый сок с чесноком, имбирем и кайенским перцем;лимон, апельсины, имбирь, чеснок, оливковое масло, кайенский перец;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/citrusovij-sok-s-chesnokom-imbirem-kajenskim-percem-18588
Сангрия;красное сухое вино, вода, сахар, палочки корицы, гвоздика, апельсины, яблоко, персики, лимон, бренди, газированная вода, лед;Напитки;Испанская кухня;https://eda.ru/recepty/napitki/sangriya-125393
Мохито безалкогольный;свежая мята, лайм, спрайт, лед, тростниковый сахар;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/mohito-bezalkogolnij-28074
Кисель;клюква, смородина, сахар, картофельный крахмал, вода;Напитки;Русская кухня;https://eda.ru/recepty/napitki/kisel-124995
Яблочная настойка «Антоновка»;антоновские яблоки, водка;Напитки;Русская кухня;https://eda.ru/recepty/napitki/jablochnaja-nastojka-antonovka-52888
Красный смузи с ягодами и свеклой;ананас, яблоки «голден», шпинат, свекла, малина, голубика, красная смородина, бананы, лед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/krasnyy-smuzi-s-yagodami-i-svekloy-80082
Лимонад;сахар, лимон, вода, газированная вода, лед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/limonad-139554
Мокко с белым шоколадом;молоко, свежесваренный кофе, белый шоколад, палочки корицы;Напитки;Американская кухня;https://eda.ru/recepty/napitki/mokko-s-belim-shokoladom-40279
Настойка из сливы;сливы, водка;Напитки;Русская кухня;https://eda.ru/recepty/napitki/nastoyka-iz-slivy-80646
Острый горячий шоколад;горький шоколад, молоко, перец чили, ванильный стручок, палочки корицы, коньяк, тростниковый сахар, взбитые сливки, какао;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/ostrij-gorjachij-shokolad-25167
Коктейль «Апероль-шприц» (Aperol Spritz);просекко, газированная вода, цедра апельсина, аперитив апероль;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-aperol-shpric-aperol-spritz-41114
