food;ingredients;category;kitchen;food_url
Салат с морепродуктами;каракатица, кальмары, рукола, чеснок, огурцы, миндальные лепестки, оливковое масло, молотый черный перец, крупная морская соль, белое вино;Салаты;Средиземноморская кухня;https://eda.ru/recepty/salaty/salat-s-moreproduktami-31056
Салат с кальмарами и перепелиными яйцами;кальмары, мини-картофель , перепелиное яйцо, эстрагон, кинза, лук-шалот, baby mix «белая дача», соль, молотый черный перец, бальзамический уксус, лук-резанец, чеснок, сливочное масло, оливковое масло, белое вино;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-s-kalmarami-i-perepelinymi-yaycami-81346
Вальдорфский салат;вишня, майонез, сметана, сахар, лимонный сок, зеленые яблоки, корень сельдерея, красный виноград, грецкие орехи, соль, молотый черный перец;Салаты;Американская кухня;https://eda.ru/recepty/salaty/valdorfskij-salat-17646
Салат с жареным тофу и кунжутом;микс олимп «белая дача», тофу, мука для темпуры, огурцы, красный сладкий перец, красный лук, базилик, лимон, соевый соус, коричневый сахар, кунжутное масло, кунжут, смесь «пять перцев», перец чили хлопьями, апельсины, растительное масло, кукурузный крахмал, масло для фритюра;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-s-zharenym-tofu-i-kunzhutom-92166
Зимний овощной салат;консервированная кукуруза, красная консервированная фасоль, красный сладкий перец, помидоры, кинза, сок лайма, соль, молотый черный перец, оливковое масло, красный лук;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/zimnij-ovoschnoj-salat-27074
Салат из печени трески и яиц;печень трески, куриное яйцо, репчатый лук, петрушка, зеленый лук;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-iz-pecheni-treski-i-yaic-58266
Салат с ростбифом;говяжья вырезка, помидоры черри, каперсы, анчоусы, яичный желток, топленое масло, сыр пармезан, сливочное масло, оливковое масло, белый винный уксус, пряная рукола «белая дача», соль, свежемолотый черный перец;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-s-rostbifom-91362
Салат «Мимоза»;куриное яйцо, горбуша консервированная в собственном соку, репчатый лук, сливочное масло, майонез, твердый сыр;Салаты;Русская кухня;https://eda.ru/recepty/salaty/salat-mimoza-114494
Кубинский салат с курицей и авокадо;куриное филе, лайм, авокадо, апельсины, красный лук, свежая мята, оливковое масло, салат романо «белая дача», соль, сахар, молотый черный перец;Салаты;Кубинская кухня;https://eda.ru/recepty/salaty/kubinskiy-salat-s-kuricey-i-avokado-124925
Салат с мандаринами и прошутто;белый бальзамический уксус, соус наршараб, оливковое масло, мандарины, прошутто, эстрагон, смесь салатных листьев тоскана «белая дача», сахар, соль, молотый черный перец;Салаты;Пошаговые рецепты;https://eda.ru/recepty/salaty/salat-s-mandarinami-i-proshutto-114450
